ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Profit/Loss from disposal of fixed assets,Interest income and dividends,Other payments on operating activities,Finance lease principal payments,Other receipts from operating activities,Profits from other activities,Net Cash Flows from Operating Activities before BIT,Payment from reserves,year,quarter,date
FPT,2007,1,206721851604.0,36931876042.0,0.0,50415764.0,-1084669460.0,9609988640.0,252229462590.0,225909260634.0,-253760281562.0,-90846866916.0,6551438913.0,-9609988640.0,-37778583300.0,69019370694.0,-69180808840.0,1084669460.0,0.0,0.0,-9500000000.0,0.0,0.0,-77596139380.0,2500000000.0,-22500000.0,1475134222492.0,-1589091804963.0,-38219326167.0,-149699408638.0,-158276177324.0,669451697346.0,4646386.0,511180166408.0,,,-23675071025.0,0.0,0.0,,,,2007,1,2007-03-31
FPT,2007,2,299510007843.0,39468065547.0,0.0,-437664765.0,-1252457408.0,11091556679.0,348379507896.0,-181137187851.0,-100733291253.0,43751164363.0,-9899021298.0,-11091556679.0,-24486347039.0,42731937377.0,-73847803994.0,1252457408.0,0.0,0.0,-50000000000.0,0.0,0.0,-122595346586.0,4884000000.0,-18000000.0,1361800535893.0,-1116658462964.0,0.0,250008072929.0,170144663720.0,511180166408.0,-41928201.0,681282901927.0,,,-22051330762.0,0.0,0.0,,,,2007,2,2007-06-30
FPT,2013,1,574384079642.0,107156330415.0,-87925448.0,-11229251451.0,-56002884246.0,35581809119.0,649802158031.0,441924007870.0,-305723782499.0,-518341345105.0,-30406645082.0,-21360679290.0,-134876535662.0,38033963311.0,-270263686503.0,2320280807.0,-150038784295.0,0.0,0.0,0.0,9009216200.0,-408972973791.0,0.0,-122380000.0,2765492900617.0,-2785142169522.0,0.0,-19771648905.0,-390710659385.0,2318915022090.0,0.0,1928204362705.0,,,-42983214952.0,0.0,0.0,,,,2013,1,2013-03-31
FPT,2013,2,702324732688.0,98098457698.0,40134654614.0,-131904094.0,-95762269436.0,29936292950.0,774599964420.0,-540963229017.0,-20075463790.0,123602940934.0,7885504948.0,-35714194995.0,-86253225725.0,251067420303.0,-112727197387.0,-1983389560.0,-545024006229.0,0.0,0.0,0.0,40349907194.0,-619384685982.0,17577510000.0,92960000.0,3438588440871.0,-2776577382536.0,-83556770894.0,596124757441.0,227807491762.0,1928204362705.0,0.0,2156011854467.0,,,27985123528.0,0.0,0.0,,,,2013,2,2013-06-30
FPT,2013,3,562529454864.0,113860144779.0,5009847092.0,-539307554.0,-83199655657.0,33765560183.0,631426043707.0,-153746381475.0,179447013310.0,46737060160.0,-21682389239.0,-16199416872.0,-132745340507.0,541290866079.0,-220895792996.0,1613841574.0,152754453885.0,-45920974281.0,0.0,0.0,45337980738.0,-67110491080.0,-150000000.0,0.0,3600721358401.0,-3468412404695.0,-470339465825.0,-338180512119.0,135999862880.0,2156011854467.0,0.0,2292011717347.0,,,8054276995.0,0.0,0.0,,,,2013,3,2013-09-30
FPT,2013,4,676391725018.0,124987009530.0,26872718020.0,-3353596393.0,-182914885631.0,33207510570.0,675190481114.0,-428461111465.0,-551145055543.0,1140070561798.0,-20124757516.0,-35724582290.0,-86916755594.0,724915869529.0,-450494339426.0,-1319561201.0,-471919135990.0,0.0,0.0,0.0,24694096042.0,-899038940575.0,0.0,0.0,3779656410063.0,-3213938082963.0,-196417690829.0,369300636271.0,195177565225.0,2292011717347.0,0.0,2487189282572.0,,,32027089025.0,0.0,0.0,,,,2013,4,2013-12-31
FPT,2014,1,581570638467.0,125129723218.0,5696461658.0,1848049687.0,-91916924789.0,35506573224.0,657834521465.0,281123471776.0,-151107971432.0,-834275974220.0,-17040620229.0,-60214999272.0,-156248625507.0,-299814695302.0,-209962055425.0,26591382.0,0.0,581630154928.0,0.0,0.0,24761194582.0,396455885467.0,6007090000.0,0.0,4206686343073.0,-3937244879795.0,-11888350.0,275436664928.0,372077855093.0,2750971144015.0,0.0,3123048999108.0,,,-19884497883.0,0.0,0.0,,,,2014,1,2014-03-31
FPT,2014,2,645004484376.0,120113047721.0,18427604347.0,-17589290282.0,-80092505668.0,47212296680.0,733075637174.0,-343216031512.0,-93865296855.0,747255188897.0,-119107191588.0,-22812053814.0,-86784048690.0,803074786229.0,-341728909614.0,13558931610.0,0.0,-295823624260.0,0.0,0.0,58932070948.0,-565061531316.0,0.0,0.0,3890648829553.0,-4446827528822.0,-412421260800.0,-968599960069.0,-730586705156.0,3123048999108.0,0.0,2392462293952.0,,,19884497883.0,0.0,-31355915266.0,,,,2014,2,2014-06-30
FPT,2014,3,599424263440.0,137792133402.0,15342626230.0,-22548299293.0,-29663208447.0,49194248354.0,749541763686.0,-228249315818.0,-272261174419.0,455396298036.0,-117864124869.0,-54488004048.0,-99663915763.0,436964823548.0,22183737780.0,-9333743844.0,738442371576.0,-167284134878.0,0.0,0.0,-286932470841.0,297075759793.0,8741820000.0,0.0,4967257368193.0,-3653150492800.0,-342578097600.0,980270597793.0,1714311181134.0,2392462293952.0,0.0,4106773475086.0,,,-26802618523.0,0.0,31355915266.0,,,,2014,3,2014-09-30
FPT,2014,4,630803373782.0,164238741744.0,45967916325.0,21417376051.0,-204024891987.0,91952795323.0,750355311238.0,-387837171502.0,-794456926062.0,658095690650.0,146682245316.0,-65027480375.0,-58903483618.0,210814912926.0,-911049695866.0,18906048708.0,-1013144793066.0,-118522395790.0,0.0,0.0,392923699906.0,-1630887136108.0,1640000000.0,0.0,10752836221461.0,-9137415768569.0,-747257025.0,1616313195867.0,196240972685.0,4106773475086.0,0.0,4303014447771.0,,,-38093272721.0,0.0,0.0,,,,2014,4,2014-12-31
FPT,2015,1,645332005031.0,162352394928.0,783301087.0,18319955679.0,-66476746992.0,40841485197.0,801152394930.0,38880793943.0,-252856624904.0,-803433595342.0,296212546960.0,-53558840006.0,-153423816216.0,-140981430407.0,-880511515042.0,464798822.0,550234177285.0,0.0,0.0,0.0,71323677005.0,-258488861930.0,6201800000.0,0.0,5739103377901.0,-5686977081786.0,-86422575.0,58241673540.0,-341228618797.0,4336282447769.0,0.0,3995053828972.0,,,-13954289772.0,0.0,0.0,,,,2015,1,2015-03-31
FPT,2015,2,705024545630.0,182982029906.0,36406079993.0,-16284897670.0,-43419919096.0,65642153436.0,930349992199.0,-515755712453.0,13116110101.0,654881292041.0,-76673091850.0,-58223782923.0,-68047687519.0,842442062606.0,-441587445495.0,2504807483.0,-344524947285.0,0.0,0.0,0.0,70111563819.0,-713496021478.0,20522670000.0,-100000000.0,5467635288074.0,-6043908786535.0,-577008412178.0,-1132859240639.0,-1003913199511.0,3995053828972.0,0.0,2991140629461.0,,,-37205056990.0,0.0,0.0,,,,2015,2,2015-06-30
FPT,2015,3,618499963188.0,114010804395.0,9439948971.0,-7709679278.0,6600948988.0,54828938991.0,795670925255.0,59355649833.0,95209095401.0,-201796177021.0,-64169291208.0,-58378121853.0,-127295624187.0,462867147089.0,-621286807576.0,-987252474.0,-668768320000.0,0.0,0.0,0.0,-52075557129.0,-1343117937179.0,2699500000.0,-4249500000.0,6372680639064.0,-5070324863490.0,-396002761750.0,904803013824.0,24552223734.0,2991140629461.0,0.0,3015692853195.0,,,-35729309131.0,0.0,0.0,,,,2015,3,2015-09-30
FPT,2015,4,882089197438.0,272529828724.0,12247669003.0,11944901297.0,-273900140649.0,105133994523.0,1010045450336.0,-359202318447.0,-551701106576.0,742910530650.0,-671350416633.0,-87189297533.0,-72704978452.0,32570083886.0,-182876151895.0,106003771487.0,-687275070271.0,0.0,0.0,0.0,137209697266.0,-626937753413.0,1530000000.0,0.0,6380923695948.0,-5218165362798.0,-904365050.0,1163383968100.0,569016298573.0,3015692853195.0,0.0,3584709151768.0,,,21762220541.0,0.0,0.0,,,,2015,4,2015-12-31
FPT,2016,1,562745635942.0,207132870420.0,23860287018.0,-15013463522.0,-66141603958.0,63801798833.0,776385524733.0,675592031306.0,163385882148.0,-813667905528.0,23622944769.0,-91030831676.0,-176653257710.0,415814003844.0,-427980474996.0,2938636.0,380453628759.0,0.0,0.0,66225020000.0,63791786286.0,82492898685.0,20556300000.0,0.0,5632001815211.0,-6264962252387.0,-40661631933.0,-653065769109.0,-154758866580.0,3584709151769.0,0.0,3429950285189.0,,,-141820384198.0,0.0,0.0,,,,2016,1,2016-03-31
FPT,2016,2,694769657598.0,210377173002.0,27300782208.0,18525550529.0,-92964365810.0,107257164991.0,965265962518.0,140530074765.0,393475510280.0,215857778928.0,-25159480354.0,-85601650701.0,-83091155189.0,1479322062737.0,-390092240309.0,823181568.0,-533190801608.0,0.0,-71340954183.0,99079378763.0,74124983962.0,-820596451807.0,43311990000.0,-1506300000.0,4670469039397.0,-4527183793677.0,-398223613900.0,-213132678180.0,445592932750.0,3429950285189.0,0.0,3875543217939.0,,,-41954977510.0,0.0,0.0,,,,2016,2,2016-06-30
FPT,2016,3,754086133430.0,257897328907.0,66705599865.0,-1371330206.0,-61986583655.0,104295791626.0,1119626939967.0,-620270226326.0,268587089657.0,1061838175979.0,51621767315.0,-99649907895.0,-194354337220.0,1545482875112.0,-341576694657.0,1710672411.0,-171680617820.0,0.0,-21999999999.0,132118654473.0,62526840932.0,-338901144660.0,0.0,-773700000.0,4955225945359.0,-4741970822849.0,-619155527160.0,-406674104650.0,799907625802.0,3875543217939.0,0.0,4675450843741.0,,,-41916626365.0,0.0,0.0,,,,2016,3,2016-09-30
FPT,2016,4,1002297239272.0,257003615767.0,-7268326249.0,13878802387.0,-110102530661.0,102512653452.0,1258321453968.0,-1022920816584.0,-32078650819.0,977947042120.0,-122316040630.0,-83482568384.0,-82982863869.0,788298940643.0,-183646765064.0,2104370697.0,-1069782619792.0,0.0,-220729133820.0,22097109222.0,108326229017.0,-1341630809740.0,-3104300000.0,1403700000.0,7398226504778.0,-5988014247487.0,705458.0,1408512362749.0,855180493652.0,4675450843741.0,0.0,5530631337393.0,,,-104188615159.0,0.0,0.0,,,,2016,4,2016-12-31
FPT,2017,1,643244794751.0,240877160280.0,32079200825.0,-4276764673.0,-93661195649.0,112871916941.0,931135112475.0,717745206261.0,-311261568352.0,-1909817307407.0,91883152.0,-116865618894.0,-174796036102.0,-1053036802196.0,-187864270732.0,3292174348.0,0.0,-736288338008.0,0.0,946800000.0,90781467399.0,-829132166993.0,15500000000.0,-120000000.0,6454882031000.0,-6481311328384.0,-84231718193.0,-95281015577.0,-1977449984766.0,6013361389774.0,0.0,4035911405008.0,,,-189268473329.0,0.0,0.0,,,,2017,1,2017-03-31
FPT,2017,2,783482958680.0,249836681594.0,64737057859.0,8309386893.0,-105242796123.0,100132120954.0,1101255409857.0,-828700201756.0,708199930415.0,724045105757.0,-10442999073.0,-118075386374.0,-111733063514.0,1410240142866.0,-311015472400.0,1701797292.0,0.0,833980554746.0,0.0,638567493.0,111217059170.0,636522506301.0,23143700000.0,-10000000.0,4752626488803.0,-5810439707279.0,-470033032800.0,-1504712551276.0,542050097891.0,4035911405008.0,0.0,4577961502899.0,,,-54308652446.0,0.0,0.0,,,,2017,2,2017-06-30
FPT,2017,3,881652746973.0,252656443882.0,38949722145.0,-16586575319.0,-107765043075.0,85119266199.0,1134026560805.0,-548696033121.0,-229812150600.0,844556478282.0,-85969268233.0,-97194493968.0,-87227602074.0,913356984713.0,-339891714976.0,521161501.0,0.0,-123346676303.0,0.0,918600000000.0,90184021953.0,546066792175.0,500000000.0,0.0,5464212713263.0,-5736500947703.0,-541394158053.0,-813182392493.0,646241384395.0,4577961502901.0,0.0,5224202887296.0,,,-16326506378.0,0.0,0.0,,,,2017,3,2017-09-30
FPT,2017,4,1940194881279.0,296046482587.0,48802285910.0,-6397702835.0,-1022815599789.0,70422375454.0,1326252722606.0,-1673745395345.0,-723601695214.0,2002489069911.0,-47682271015.0,-54274342970.0,-270426500265.0,566810937637.0,-265599470404.0,-1642129706.0,-942508215806.0,25654459565.0,0.0,-1743479749068.0,115873769868.0,-2811701335551.0,0.0,260000000.0,4630850181600.0,-3895002779658.0,-234773378429.0,501334023513.0,-1743556374401.0,5224202887296.0,0.0,3480646512895.0,,,7799349929.0,0.0,0.0,,,,2017,4,2017-12-31
FPT,2018,1,780778210852.0,274120905699.0,28467536958.0,36234011948.0,-172895957104.0,46408615422.0,993113323775.0,430508628152.0,-117726206731.0,-997380363984.0,-130373073840.0,-44399653219.0,-162818299787.0,-117565737287.0,-602935284388.0,16349167.0,-420153483511.0,0.0,0.0,0.0,96312241294.0,-926760177438.0,0.0,0.0,2963896342683.0,-2160548216900.0,-163537318875.0,639810806908.0,-404515107817.0,3480659514788.0,0.0,3076144406971.0,,,-88490091653.0,0.0,0.0,,,,2018,1,2018-03-31
