index,ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,stock_code,report_type,scraped_at,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Meta_ticker,Meta_yearReport,Meta_lengthReport,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA,year,quarter,period,company_report
0,FPT,2025.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,58102970741619.0,10540181640920.0,29612986737440.0,14400800569076.0,2167188682919.0,1381813111264.0,29986651038243.0,17330033606586.0,4737863994182.0,5749495414786.0,88089621779862.0,44338155487272.0,41552785100161.0,2785370387111.0,43751466292590.0,43748716292590.0,3499547369952.0,14324284500434.0,7265098386273.0,88089621779862.0,915176652285.0,2250812490757.0,0.0,17035071210000.0,17035071210000.0,1903789988184.0,761332738428.0,19169697497955.0,1015730266161.0,4200230383066.0,3823762975906.0,611435814893.0,564342065270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,4,2025-Q4,FPT_Balance_Sheet
1,FPT,2025.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,53632976863548.0,9853512731370.0,27125585559832.0,13077014449004.0,2050315910017.0,1526548213325.0,29105328066901.0,16990519914677.0,3982982376038.0,5915455046818.0,82738304930449.0,39907781019976.0,36285959995924.0,3621821024052.0,42830523910473.0,42827773910473.0,3499547369952.0,13905342142939.0,7039652215035.0,82738304930449.0,801251699142.0,2134346913983.0,0.0,17035071210000.0,17035071210000.0,2681435422290.0,889386954751.0,16906417104678.0,1175980649927.0,4112639286448.0,3467604969734.0,624504027254.0,576978545154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,3,2025-Q3,FPT_Balance_Sheet
2,FPT,2025.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,52711179992741.0,10019630995136.0,26619399709978.0,12525313635530.0,2074111218172.0,1472724433925.0,28554895462630.0,16736349598106.0,3814048381835.0,5696418377281.0,81266075455371.0,41393292129716.0,37683199470884.0,3710092658832.0,39872783325655.0,39870033325655.0,3445303270339.0,13754755729692.0,6569531877020.0,81266075455371.0,806039137690.0,2157814116939.0,0.0,14813301220000.0,14813301220000.0,2739611909827.0,832680973164.0,20297311111107.0,1157563156639.0,3961673550929.0,3489039064306.0,602496864928.0,555386499326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,2,2025-Q2,FPT_Balance_Sheet
3,FPT,2025.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,46075510989597.0,6755645214252.0,23768377985785.0,11997831491115.0,2107939084995.0,1445717213450.0,27922162132192.0,15548353983782.0,3526503466795.0,5600891937741.0,73997673121789.0,36101018424847.0,33917117422503.0,2183901002344.0,37896654696942.0,37893904696942.0,1929012703454.0,13205526456323.0,5822598933827.0,73997673121789.0,654479702711.0,2238873166859.0,0.0,14710691830000.0,14710691830000.0,987681080191.0,601277867861.0,18320209599285.0,1066102117874.0,3785638253320.0,3422494535673.0,482857117398.0,433719282180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,1,2025-Q1,FPT_Balance_Sheet
4,FPT,2024.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,45535942846453.0,9315440438884.0,21785213686808.0,11381523992803.0,1856756949030.0,1197007778928.0,26464052832167.0,14816131186204.0,3318095237260.0,5438413518284.0,71999995678620.0,36272455573820.0,34836184067740.0,1436271506080.0,35727540104800.0,35724790104800.0,1929012703454.0,11030528671431.0,5933309621004.0,71999995678620.0,610379845664.0,1990224486513.0,0.0,14710691830000.0,14710691830000.0,501115537075.0,562066755666.0,14446238451323.0,1097458206678.0,3765187625417.0,3393737969842.0,381508926294.0,331646166008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,4,2024-Q4,FPT_Balance_Sheet
5,FPT,2024.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,42605105704316.0,7935632407357.0,19442595123064.0,11875150699489.0,2059110974322.0,1292616500084.0,24976481427066.0,14439270982491.0,3214141461080.0,5501511121171.0,67581587131382.0,32217402904957.0,30969636903539.0,1247766001418.0,35364184226425.0,35361434226425.0,1928079706361.0,11263802921306.0,5671387531825.0,67581587131382.0,566097011978.0,2193960954794.0,0.0,14604480660000.0,14604480660000.0,478259485405.0,561493915003.0,14167809581083.0,1434724678776.0,3447179472476.0,3127281986657.0,398299567069.0,346824501151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,2024-Q3,FPT_Balance_Sheet
6,FPT,2024.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,40835231143696.0,6836262549195.0,19916062543669.0,10992515047452.0,1883517781683.0,1206873221697.0,24451014484828.0,14177576187762.0,3095902850581.0,5386582674862.0,65286245628524.0,32549802380215.0,31353291224627.0,1196511155588.0,32736443248309.0,32733693248309.0,1928079706361.0,9178029915429.0,5250105319906.0,65286245628524.0,599121868182.0,2020867809584.0,0.0,14604480660000.0,14604480660000.0,478494331122.0,773964458511.0,16024050830233.0,1479792163477.0,3317231255111.0,2957192860629.0,367722195710.0,315647881073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,2,2024-Q2,FPT_Balance_Sheet
7,FPT,2024.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,37679149034489.0,6341457504996.0,18230159723426.0,10054871366217.0,1856403641469.0,1196256798381.0,24345556013940.0,13814237251681.0,3415559155234.0,5366724357153.0,62024705048429.0,30297604017265.0,29033182945777.0,1264421071488.0,31727101031164.0,31724351031164.0,1928079706361.0,10478838767447.0,4892732884725.0,62024705048429.0,628462570207.0,1996597949120.0,0.0,12699688750000.0,12699688750000.0,525148987126.0,663830151912.0,15984086694338.0,1611723437032.0,3291841329838.0,2949336301696.0,372045169185.0,319672686548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024,1,2024-Q1,FPT_Balance_Sheet
8,FPT,2023.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,36709543350385.0,8279156683221.0,16104205358010.0,9533935053243.0,1593411075233.0,1198835180678.0,23615732701547.0,13643232649898.0,3367402312269.0,5042420397778.0,60325276051932.0,30376921097518.0,29667280422306.0,709640675212.0,29948354954414.0,29945604954414.0,1928602158147.0,8679208502528.0,4958194500693.0,60325276051932.0,348405863076.0,1724956924671.0,0.0,12699688750000.0,12699688750000.0,208074996962.0,602100022731.0,13837894474107.0,1283790079129.0,3389945901107.0,2830355013038.0,299779688236.0,247407205599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,4,2023-Q4,FPT_Balance_Sheet
9,FPT,2023.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FPT,Balance Sheet,2026-02-26 01:40:21,39531943273981.0,7153625069795.0,19618195845890.0,9819319720327.0,1757547511785.0,1183255126184.0,22580733074663.0,13261738918834.0,3223296628954.0,4529333425055.0,62112676348644.0,33707020718946.0,33050415339821.0,656605379125.0,28405655629698.0,28402905629698.0,1179064868147.0,8388775579103.0,4771571633243.0,62112676348644.0,419601591333.0,1896440753051.0,0.0,12699688750000.0,12699688750000.0,172070230363.0,501875085943.0,18937892531470.0,755457584159.0,3426793863558.0,2562675236710.0,289197032318.0,237407427718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023,3,2023-Q3,FPT_Balance_Sheet
