ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Sales deductions,Net income from associated companies,Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,Operating Profit before Provision,Provision for credit losses,Tax For the Year,EPS_basis,year,quarter,date
FPT,2007,1,0.0,5663584718970,155046633674,0.0,10100065262.0,-9609988640.0,5663584718970.0,5663584718970.0,-5260653226564.0,402931492406.0,-13644174369.0,0.0,-110290430549.0,-126899651618,162197301132.0,51239438177.0,-6714887705.0,44524550472.0,206721851604,-27266211127,0,179455640477,24409006803,155046633674,0.0,0.0,,,,,,,,,,,,,,,,,,,2007,1,2007-03-31
FPT,2007,2,0.0,6070562308072,210921693967,0.0,5532058064.0,-11081556679.0,6070562308072.0,6070562308072.0,-5509316749370.0,561245558702.0,-16784251502.0,0.0,-134534139655.0,-147170754656,268288470953.0,36403592099.0,-5182055209.0,31221536890.0,299510007843,-42892807575,0,256617200268,45695506301,210921693967,0.0,0.0,,,,,,,,,,,,,,,,,,,2007,2,2007-06-30
FPT,2013,1,0.5228423534403362,8624746682345,358322731666,1.3110642467698264,62994839537.0,-35581809119.0,8624746682345.0,8611039318749.0,-7417863368376.0,1193175950373.0,-63070822216.0,0.0,-254508011272.0,-386688876377,551903080045.0,56173108966.0,-34915057449.0,21258051517.0,574384079641,-105484897365,5781783050,474680965326,116358233660,358322731666,-13707363596.0,1222948079.0,,,,,,,,,,,,,,,,,,,2013,1,2013-03-31
FPT,2013,2,0.5412368469930926,9356174311168,444785653324,1.108771482717133,78484913031.0,-29936292950.0,9356174311168.0,9336561564148.0,-7971355071365.0,1365206492783.0,-83267090537.0,0.0,-296759398864.0,-387784949629,675879966784.0,43904284009.0,-24285908367.0,19618375642.0,702324732688,-124887149259,6861416500,584298999929,139513346605,444785653324,-19612747020.0,6826390262.0,,,,,,,,,,,,,,,,,,,2013,2,2013-06-30
FPT,2013,3,0.0,12022073340628,330589868211,0.0,60335678666.0,-33765560183.0,12022073340628.0,12000599396256.0,-10654524368153.0,1346075028103.0,-65079637611.0,0.0,-344080456028.0,-450431684294,546818928836.0,59853465674.0,-48674479654.0,11178986020.0,562529454863,-105574858120,8154888208,465109484951,134519616740,330589868211,-21473944372.0,4531540007.0,,,,,,,,,,,,,,,,,,,2013,3,2013-09-30
FPT,2013,4,0.0,11312683119637,474009965781,0.0,183905929068.0,-33207510570.0,11312683119637.0,11283426979266.0,-9645313343949.0,1638113635317.0,-59138016837.0,0.0,-477727928366.0,-608518128319,676635490863.0,25294979068.0,-34478752843.0,-9183773775.0,676391725020,-141070855257,5902675341,541223545104,67213579323,474009965781,-29256140371.0,8940007932.0,,,,,,,,,,,,,,,,,,,2013,4,2013-12-31
FPT,2014,1,0.2657771202774332,10917007018701,361517383294,0.0089155706453415,83919239549.0,-35506573224.0,10917007018701.0,10867321675354.0,-9522263035169.0,1345058640185.0,-61447491419.0,0.0,-344492563430.0,-456174862257,566862962628.0,37979782413.0,-33605874655.0,4373907758.0,581570638467,-105743731666,5126536321,480953443122,119436059828,361517383294,-49685343347.0,10333768081.0,,,,,,,,,,,,,,,,,,,2014,1,2014-03-31
FPT,2014,2,0.1471964705750629,10733370147857,427585557091,-0.0386705283870088,75899632592.0,-47212296680.0,10733370147857.0,10685411011162.0,-9131407438258.0,1554003572904.0,-88081178482.0,0.0,-387407906435.0,-526030515916,628383604663.0,26772619527.0,-17853916881.0,8918702646.0,645004484376,-96429427589,8883281242,557458338029,129872780938,427585557091,-47959136695.0,7702177067.0,,,,,,,,,,,,,,,,,,,2014,2,2014-06-30
FPT,2014,3,0.125974856940682,13536552309844,389097954831,0.1769808824953372,98394902661.0,-49194248354.0,13536552309844.0,13477214908110.0,-11870554158755.0,1606660749355.0,-77732928024.0,0.0,-415170114454.0,-621219823005,590932786533.0,40894534832.0,-42420969379.0,-1526434547.0,599424263440,-102582797721,6880067743,503721533462,114623578631,389097954831,-59337401734.0,10017911454.0,,,,,,,,,,,,,,,,,,,2014,3,2014-09-30
FPT,2014,4,0.3619650786305586,15407479354559,450528882174,-0.0495371095591028,109430790906.0,-91952795323.0,15407479354559.0,15333191333048.0,-13564975357078.0,1768215975970.0,-129236167175.0,0.0,-542275938406.0,-593725112616,612409548679.0,103061210795.0,-97472128534.0,5589082261.0,630803373783,-100607451803,3440252539,533636174519,83107292345,450528882174,-74288021511.0,12804742843.0,,,,,,,,,,,,,,,,,,,2014,4,2014-12-31
FPT,2015,1,-0.1977589710299452,8758070943956,424660831199,0.1746622730272676,89420051565.0,-40841485197.0,8758070943956.0,8641481450290.0,-6951763574350.0,1689717875940.0,-120816576677.0,0.0,-522723919797.0,-506656453189,628940977842.0,38083316195.0,-30593135201.0,7490180994.0,645332005032,-101775111228,3791884748,547348778552,122687947353,424660831199,-116589493666.0,8900846196.0,,,,,,,,,,,,,,,,,,,2015,1,2015-03-31
FPT,2015,2,-0.116851331683778,9479161552625,456633177453,0.0679340540864386,98267830949.0,-65642153436.0,9479161552625.0,9328539915897.0,-7526627132917.0,1801912782980.0,-142841952425.0,8970427651.0,-523476460522.0,-531229058610,711603570023.0,12063446445.0,-18642470839.0,-6579024394.0,705024545629,-125417226089,10901745594,590509065134,133875887681,456633177453,-150621636728.0,0.0,,,,,,,,,,,,,,,,,,,2015,2,2015-06-30
FPT,2015,3,-0.2812807469667939,9728980764776,389063984750,-8.730470201200234e-05,111424116814.0,-54828938991.0,9728980764776.0,9527463506576.0,-7612866881691.0,1914596624885.0,-194923018629.0,7754671095.0,-589228067063.0,-627797566145,621826760957.0,44791672713.0,-48118470482.0,-3326797769.0,618499963188,-107228020329,7954519993,519226462852,130162478102,389063984750,-201517258200.0,0.0,,,,,,,,,,,,,,,,,,,2015,3,2015-09-30
FPT,2015,4,-0.3200514635180663,10476293038008,662357845998,0.4701784329604621,157336802226.0,-105133994523.0,10476293038008.0,10449042783674.0,-8290362197319.0,2158680586355.0,-165561862702.0,8848742276.0,-500710078079.0,-815101921953,843492268123.0,54002904929.0,-15405975614.0,38596929315.0,882089197438,-162692014996,61324194878,780721377320,118363531322,662357845998,-27250254334.0,0.0,,,,,,,,,,,,,,,,,,,2015,4,2015-12-31
