ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Goodwill,Budget sources and other funds,Investment and development funds (Bn. VND),Convertible bonds (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Investments in associate companies,Less: Provision for diminuation in value of long term investments,Tangible fixed assets,Intagible fixed assets,Other Assets,Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,Capital,Reserves,Foreign Currency Difference reserve,Investment in joint ventures,Difference upon Assets Revaluation,Minority Interest
VHM,2025,4,500834700000000.0,49948510000000,2259178000000.0,215216410000000.0,134792654000000.0,98617948000000.0,285540547000000.0,6001345000000.0,22055774000000,16070174000000.0,12417827000000,72987138000000.0,786375247000000,538469649000000,345174167000000.0,193295482000000.0,247905598000000,247905598000000.0,0.0,200768971000000,11701801000000,786375247000000,67668451000000.0,4404937000000.0,134898102000000.0,94186513000000.0,41074120000000.0,41074120000000,102878889000000.0,89157012000000.0,43376867000000.0,294302000000.0,4306757000000.0,12222095000000,62616458000000.0,68617803000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2025,3,436436596000000.0,48767614000000,2116747000000.0,218408164000000.0,125608165000000.0,41535906000000.0,331827957000000.0,10859889000000.0,18119705000000,16221717000000.0,12435017000000,127848067000000.0,768264553000000,533334874000000,329506259000000.0,203828615000000.0,234929679000000,234929679000000.0,0.0,181864292000000,17630561000000,768264553000000,54859079000000.0,14508677000000.0,125689997000000.0,37298399000000.0,41074120000000.0,41074120000000,93117003000000.0,100841103000000.0,48372781000000.0,331731000000.0,4044605000000.0,12222095000000,61344541000000.0,72204430000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2025,2,387915470000000.0,48671892000000,3437044000000.0,214264630000000.0,80555168000000.0,40986736000000.0,265891354000000.0,19389313000000.0,17393991000000,15205122000000.0,12495673000000,62935067000000.0,653806824000000,423301025000000,286758448000000.0,136542577000000.0,230505799000000,230505799000000.0,0.0,177669489000000,17401484000000,653806824000000,41766680000000.0,14857073000000.0,80629689000000.0,37649283000000.0,41074120000000.0,41074120000000,42850814000000.0,47943400000000.0,47550488000000.0,368805000000.0,3765271000000.0,12284236000000,60755882000000.0,80145195000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2025,1,259860077000000.0,21492706000000,3346766000000.0,149281209000000.0,55672832000000.0,30066564000000.0,301643481000000.0,17988808000000.0,14474497000000,16787442000000.0,12502754000000,51189580000000.0,561503558000000,338107549000000,237524644000000.0,100582905000000.0,223396009000000,223396009000000.0,0.0,169894769000000,18071414000000,561503558000000,35921181000000.0,440996000000.0,55730707000000.0,27309584000000.0,41074120000000.0,41074120000000,54525866000000.0,43294133000000.0,33423836000000.0,444157000000.0,2827698000000.0,12294236000000,105500607000000.0,123489415000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2024,4,285478928000000.0,28780123000000,5391872000000.0,168405984000000.0,54696048000000.0,28204901000000.0,278730432000000.0,10896805000000.0,14622184000000,16916463000000.0,12519070000000,45011920000000.0,564209360000000,343465385000000,278532295000000.0,64933090000000.0,220743975000000,220743975000000.0,0.0,167205815000000,18108334000000,564209360000000,23593399000000.0,8429883000000.0,54753923000000.0,25843774000000.0,41074120000000.0,41074120000000,47015689000000.0,40286424000000.0,34276497000000.0,481878000000.0,2875918000000.0,12294236000000,96773515000000.0,107670320000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2024,3,302730495000000.0,20621483000000,3802114000000.0,187108837000000.0,57981046000000.0,33217015000000.0,221953857000000.0,4509196000000.0,17352385000000,17237951000000.0,9736355000000,47595558000000.0,524684352000000,308718618000000,246563570000000.0,62155048000000.0,215965734000000,215965734000000.0,0.0,154216100000000,15834620000000,524684352000000,20586548000000.0,10503541000000.0,58034209000000.0,29804229000000.0,43543675000000.0,43543675000000,47969250000000.0,49421223000000.0,24201679000000.0,520728000000.0,2701347000000.0,9513399000000,45159183000000.0,49668379000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2024,2,259728446000000.0,17179976000000,3673995000000.0,145799709000000.0,58659923000000.0,34414843000000.0,233721916000000.0,10930572000000.0,12268758000000,19830562000000.0,10374902000000,51240776000000.0,493450362000000,286518100000000,227951712000000.0,58566388000000.0,206932262000000,206932262000000.0,0.0,146351374000000,14665874000000,493450362000000,20207313000000.0,1468250000000.0,58712830000000.0,31533354000000.0,43543675000000.0,43543675000000,44599750000000.0,47710091000000.0,25901229000000.0,559203000000.0,2611669000000.0,10158325000000,55522548000000.0,66453120000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2024,1,255295711000000.0,9524619000000,3629316000000.0,152936619000000.0,58756231000000.0,30448926000000.0,209188983000000.0,240000000000.0,10972789000000,17632901000000.0,8021445000000,71593584000000.0,464484694000000,268268453000000,214974936000000.0,53293517000000.0,196216241000000,196216241000000.0,0.0,136335857000000,13970370000000,464484694000000,16571862000000.0,17774275000000.0,58808531000000.0,27620229000000.0,43543675000000.0,43543675000000,39496110000000.0,43551036000000.0,24400865000000.0,597677000000.0,1863562000000.0,7831546000000,33342332000000.0,33582332000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2023,4,240250006000000.0,14104131000000,3832848000000.0,126607372000000.0,52342813000000.0,43362842000000.0,207110770000000.0,1050800000000.0,11731171000000,17931541000000.0,7760265000000,71653840000000.0,447360776000000,264991288000000,214020096000000.0,50971192000000.0,182369488000000,182369488000000.0,0.0,133124962000000,3334512000000,447360776000000,17197498000000.0,4944650000000.0,52379650000000.0,41001850000000.0,43543675000000.0,43543675000000,38393923000000.0,54503801000000.0,18289641000000.0,636151000000.0,1645894000000.0,7624903000000,33012930000000.0,34063730000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2023,3,215057869000000.0,2909914000000,4638593000000.0,121815245000000.0,55103757000000.0,30590360000000.0,201981605000000.0,4135750000000.0,12051633000000,18977835000000.0,7323414000000,63978562000000.0,417039474000000,236174964000000,196258996000000.0,39915968000000.0,180864510000000,180864510000000.0,0.0,132283582000000,3296288000000,417039474000000,17038457000000.0,17108362000000.0,55168949000000.0,27484755000000.0,43543675000000.0,43543675000000,29488390000000.0,38103070000000.0,13637750000000.0,1049517000000.0,2041088000000.0,7097406000000,32658870000000.0,36794620000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
